FECHA;FOB;FLETE;CIF
7/01/2019;24875.89;642.14;25540.99
9/01/2019;43994.7;477.24;44511.91
10/01/2019;813.69;56.23;870.7
15/01/2019;363.04;1130.5;1518.54
17/01/2019;13342.7;619.99;13987.68
18/01/2019;632.5;75;732.5
23/01/2019;311.5;1203.29;1591.33
31/01/2019;36904.18;1749.98;38689.37
8/02/2019;27163.06;586.36;27774.27
15/02/2019;43034.46;2617.26;45692.78
28/02/2019;18574.5;742.31;19340.88
14/03/2019;10968.02;562.16;11544.51
15/03/2019;47973.82;1799.97;49818.56
20/03/2019;52923.19;964.87;53936.51
25/03/2019;46449.02;3473.06;49979.73
2/04/2019;24611.34;753.76;25440.91
3/04/2019;20027.81;2259.87;22312.5
4/04/2019;537.69;3.67;542.03
5/04/2019;129892.68;1643.93;131925.62
8/04/2019;52637.85;880.22;53566.2
17/04/2019;123914.48;9173.76;133321.23
22/04/2019;50999.55;7309.66;58381.82
24/04/2019;349.98;34.98;409.95
26/04/2019;2087.94;105.62;2218.56
30/04/2019;58794.12;4692.42;63565.85
2/05/2019;29869.6;1284.95;31182.83
6/05/2019;47520.95;1029.23;48593.87
9/05/2019;32958.41;6264.95;39289.86
10/05/2019;1063.99;377;1465.97
20/05/2019;50204.16;629.33;50879.2
21/05/2019;7798.07;296.19;8112.24
27/05/2019;81376.56;6451.45;87932
11/06/2019;32639.92;334.18;33003.73
14/06/2019;43703.8;706.78;44450.52
20/06/2019;28298.25;411.93;28748.56
27/06/2019;4523.28;1897.56;6451.23
3/07/2019;7316.66;1665.35;9006.28
25/07/2019;3558.99;464.64;4048.62
5/08/2019;6992.68;178.38;7178.22
12/08/2019;12439.47;207.43;12658.24
13/08/2019;4054.25;26.99;4106.23
20/08/2019;7761.49;325.87;8110.18
28/08/2019;251;292;545.51
4/09/2019;23733.49;1959.91;25718.96
6/09/2019;33261.4;967.49;34271.26
11/09/2019;24302.57;1219.23;25547.31
12/09/2019;21668.89;436.42;22184.64
13/09/2019;1404.23;182.37;1588.82
17/09/2019;8704.5;4188;12911.22
18/09/2019;41907.91;2130.35;44080.24
2/10/2019;82208.91;1693.36;84005.98
3/10/2019;1409.91;32.9;1444.25
10/10/2019;111232.42;3520.2;114875.87
17/10/2019;41475.73;2311.27;43833.03
29/10/2019;18378.86;649.49;19045.47
31/10/2019;30576.48;999.75;31613.86
7/11/2019;4228.11;67.02;4299.42
14/11/2019;24379.97;1049.96;25461.82
22/11/2019;23207;977.18;24218.12
28/11/2019;13842.37;267.64;14130.01
3/12/2019;16273.26;1006.33;17295.12
11/12/2019;1090.4;299.24;1410.41
16/12/2019;60893.98;1266.73;62216.54
19/12/2019;47968.8;986.61;49016.59
2/01/2020;137914.19;2914.49;140977.72
3/01/2020;2707.62;1500.46;4225.81
9/01/2020;38948.9;2181.56;41181.75
17/01/2020;13797.75;129.09;13944.81
22/01/2020;31517;1903.31;33450.38
24/01/2020;95526;4668.48;100319.02
30/01/2020;25729.81;1599.97;27354.76
7/02/2020;54136.92;2139.98;56327.53
13/02/2020;36938.15;961.58;37933.81
15/02/2020;27795.09;1492.03;29323.32
18/02/2020;40167.63;1096.15;41314.69
29/02/2020;62791.28;1540.43;64389.48
2/03/2020;40511.97;789.41;41352.96
6/03/2020;52263.9;2319.96;54632.96
11/03/2020;37999.45;1438.04;39486.75
28/03/2020;37689.84;1364.64;39100.7
6/04/2020;61804.79;1088.68;62949.68
13/04/2020;74150.42;1056.96;75274.96
15/04/2020;37689.84;1680.59;39416.44
24/04/2020;35317.54;1542.74;36906.34
30/04/2020;79945.99;2119.42;82167.1
2/05/2020;13880;479.68;14372.6
8/05/2020;1795.26;20.68;1818.21
13/05/2020;45926.95;660.5;46629.47
19/05/2020;120497.78;2823.71;123517.07
2/06/2020;147009.64;3625.25;150822.64
30/06/2020;37155.49;1010.21;38213.19
2/07/2020;44927.06;1103.78;46088.35
7/07/2020;100308.85;2302.46;102703.52
15/08/2020;19994.43;457.29;20470.12
20/08/2020;6254.67;228.26;6545.47
2/09/2020;43514.66;997.58;44947.12
12/09/2020;29813.03;2667.99;32510.24
25/09/2020;38184.91;1099.94;39666.62
16/10/2020;53895.82;3142.99;57577.76
27/10/2020;51412.63;1151.27;53077.97
31/10/2020;1309.32;20.8;1331.46
6/11/2020;36773.37;347.68;37154.38
9/11/2020;38424.38;1372.5;40181.09
26/11/2020;36349.86;839.92;37553.13
3/12/2020;9191.08;298.28;9581.27
30/12/2020;84941.52;850.57;85869.2
18/01/2021;2069.69;76.97;2149.34
4/02/2021;84300.91;1588.9;85967.07
26/02/2021;73056.84;1149.8;74936.97
3/03/2021;36266.78;379.53;36679.23
6/03/2021;7.14;0.76;7.9
8/03/2021;1762.46;34.8;1822.26
12/03/2021;132497.35;2735.78;135448.92
15/03/2021;11098;2350;13558.98
16/03/2021;32734.76;494.77;33556.69
19/03/2021;19331.27;1484.94;21009.46
30/03/2021;24944.04;731.02;25924.47
9/04/2021;3897.18;83.7;4019.85
15/04/2021;11078.34;208.46;11311.8
17/04/2021;55492.2;8076.88;63626.27
21/04/2021;34859.5;1289.38;36496.92
5/05/2021;13978.82;4884.95;19003.53
11/05/2021;102869.99;1999.01;105897.21
14/05/2021;62965.92;2172.47;65768.01
15/05/2021;41260.24;1728.64;43401.47
19/05/2021;85860.9;3372.8;90092.26
1/06/2021;9641.3;2172.1;11909.8
10/06/2021;35038.76;750.23;36139.23
30/06/2021;180308.09;19229.19;201339.8
3/07/2021;3072.73;155.07;3258.51
14/07/2021;71776.66;2285.29;74778.93
20/07/2021;78176.91;6854.75;85813.38
27/07/2021;36384.33;1166.4;37914.11
5/08/2021;831.08;175;1031.08
11/08/2021;27379.98;2024.87;29678.49
24/08/2021;66002.89;3324.86;69987.73
8/09/2021;2058.05;168.29;2246.92
27/09/2021;13041;1646.12;14712.1
1/10/2021;96993.74;5306.65;103269.67
22/10/2021;70044.19;2907.08;73651.34
27/10/2021;31482.47;1785.94;33583.22
7/11/2021;6299.86;394.31;6757.12
11/11/2021;53278.36;2768.26;56578.81
19/11/2021;2523.96;332.92;2882.12
23/11/2021;36216.08;1775.45;38353.66
24/11/2021;8449.49;1307.89;9841.87
25/11/2021;70212.67;8659.31;79573.98
21/12/2021;28769.38;2409.39;31465.56
22/12/2021;185161.61;38678.59;224699.37
4/01/2022;27229.08;3138.72;30639.93
15/02/2022;17343.16;2819.49;20336.07
1/03/2022;32200;9970.8;42206.36
5/03/2022;66954.08;2262.03;69885.13
12/04/2022;78237.76;6025.71;85045.78
23/04/2022;155078.11;7100.59;163724.03
28/04/2022;2008.19;330.19;2358.46
30/04/2022;29554.5;2057.02;31906.32
2/05/2022;163027.2;10198.9;174856.28
12/05/2022;87037.9;7359.93;95268.13
13/05/2022;78502.7;5742.62;85028.52
19/05/2022;41894.04;3065.88;45378.82
